CITY NAME,2010,2011,2012,2013,2014,2015
"Visalia city, California",124826,125803,126754,127744,129042,130104
"Vista city, California",94103,95180,96261,97266,98157,100890
"Waco city, Texas",125420,126514,127698,129221,130054,132356
"Walnut Creek city, California",64354,64916,65650,66984,67690,68910
"Waltham city, Massachusetts",60854,61322,62010,62412,63149,63378
"Warner Robins city, Georgia",69023,70714,71774,72584,73303,73490
"Warren city, Michigan",134057,133984,134354,135073,135452,135358
"Warwick city, Rhode Island",82603,82080,81826,81796,81875,81699
"Washington city, District of Columbia",605126,620472,635342,649540,659836,672228
"Waterbury city, Connecticut",110369,110087,109918,109661,109270,108802
"Waterloo city, Iowa",68408,68399,68369,68495,68459,68460
"Watsonville city, California",51281,51593,51915,52480,53041,53628
"Waukegan city, Illinois",89169,88945,88758,88901,88863,88475
"Waukesha city, Wisconsin",70719,70721,71232,71290,71535,71970
"Wellington village, Florida",56870,57597,58759,60290,61515,62560
"West Allis city, Wisconsin",60434,60520,60722,60779,60709,60620
"West Covina city, California",106185,106971,107497,107952,108231,108484
"West Des Moines city, Iowa",57044,58400,59369,61282,63447,64113
"West Haven city, Connecticut",55568,55515,55241,55104,55176,54927
"West Jordan city, Utah",104064,106510,108305,110107,110862,111946
"West New York town, New Jersey",49894,50725,51207,51764,52258,53366
"West Palm Beach city, Florida",100545,101337,102516,103130,104082,106779
"West Sacramento city, California",48859,49196,49670,50162,51886,52721
"West Valley City city, Utah",129654,131118,132515,133883,134559,136208
"Westland city, Michigan",83904,83362,83106,82383,82291,82000
"Westminster city, California",89812,90871,91515,92028,92044,92114
"Westminster city, Colorado",106458,107783,109256,110805,112026,113130
"Weston city, Florida",65521,66771,67757,68478,69118,69959
"Weymouth Town city, Massachusetts",53799,54185,55037,55510,55747,55957
"Wheaton city, Illinois",53055,53336,53478,53697,53739,53715
"White Plains city, New York",56944,57237,57367,57898,58062,58459
"Whittier city, California",85358,85820,86285,86795,87088,87438
"Wichita city, Kansas",382872,383818,385865,387419,388812,389965
"Wichita Falls city, Texas",104845,104130,104834,105302,105677,104710
"Wilmington city, Delaware",70787,70981,71331,71529,71893,71948
"Wilmington city, North Carolina",106800,108243,109915,112126,113933,115933
"Winston-Salem city, North Carolina",230093,231902,234205,236449,239538,241218
"Woodbury city, Minnesota",62265,63542,64518,65666,66822,67855
"Woodland city, California",55552,55797,56334,56815,57480,58567
"Worcester city, Massachusetts",181849,182372,182426,183121,184211,184815
"Wyoming city, Michigan",72144,72709,73456,74232,74920,75275
"Yakima city, Washington",91680,92851,93087,93257,93361,93701
"Yonkers city, New York",196392,197760,198389,199562,200436,201116
"Yorba Linda city, California",64446,65760,66529,67136,67764,67973
"Youngstown city, Ohio",66910,66574,66129,65505,65066,64628
"Yuba City city, California",65675,65486,65477,65893,66318,66941
"Yucaipa city, California",51519,52067,52459,52802,53043,53328
"Yuma city, Arizona",91445,94265,93821,93086,93707,94139